# NOAA Paleoclimatology Program - Paleocean Site Data
# tr16319l-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David W. Lea
# Core/Site:      TR163-19
# Latitude:       2.15.18N	( 2.255)
# Longitude:      90.57.04W	( -90.95111)
# Water Depth(m): 2348
#
# Publications:
#   Lea, D.W., P.A. Martin, D.K. Pak, and H.J. Spero. 2002. Reconstructing a 350
#     ky history of sea level using planktonic Mg/Ca and oxygen isotopic records from
#     a Cocos Ridge core. Quaternary Science Reviews 21(1-3):283-293.
#------------------
#
# Description & Notes:
#   350 KYr Sea Level Reconstruction and Foraminifer Isotope Data.
#   Data precision: O18, ±0.06 per mil,  O18w(est.), ±0.18 per mil; SL(est.), +21,
#   -27 m.  Sea Level Age is based on adjustment of original SPECMAP time scale (Imbrie
#   et al. 1984) by the observed offsets between d18Ocalcite and d18Owater at the
#   terminations, which are: 2.5 ky at Term. I, 5 ky at Term. II, 3 ky at Term. III,
#   and 3.5 ky at Term.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Ouvige     delta O18 PDB (Uvigerina sp.)
#             d18Owater     delta O18 PDB (water)
#             sealev        sea level in meters below sea level
#
# CORE: TR163-19
depth	yrBP 	d18Ouvige	d18Owater	sealev	
-999	260000	-999	0.56	-56	
-999	262400	-999	0.73	-73	
779	264200	4.42	-999	-999	
-999	264800	-999	0.87	-87	
-999	267300	-999	0.82	-82	
789	269000	4.3	-999	-999	
-999	269700	-999	0.79	-79	
-999	272100	-999	0.81	-81	
-999	275700	-999	0.75	-75	
799	276200	4.11	-999	-999	
-999	279300	-999	0.68	-68	
-999	283000	-999	0.61	-61	
809	283400	3.57	-999	-999	
-999	286600	-999	0.47	-47	
819	288300	3.74	-999	-999	
-999	290200	-999	0.45	-45	
829	291000	3.65	-999	-999	
-999	291500	-999	0.6	-60	
-999	292900	-999	0.73	-73	
839	293700	3.84	-999	-999	
-999	294200	-999	0.72	-72	
-999	295600	-999	0.53	-53	
849	296300	3.97	-999	-999	
-999	296900	-999	0.36	-36	
-999	298300	-999	0.42	-42	
859	299000	4.16	-999	-999	
-999	299600	-999	0.53	-53	
-999	301000	-999	0.57	-57	
-999	302300	-999	0.68	-68	
869	304500	3.95	-999	-999	
-999	305100	-999	0.7	-70	
-999	307800	-999	0.62	-62	
879	310000	3.75	-999	-999	
-999	310600	-999	0.43	-43	
889	313000	3.55	-999	-999	
-999	313300	-999	0.17	-17	
-999	314800	-999	0.18	-18	
899	316000	3.4	-999	-999	
-999	316300	-999	0.3	-30	
-999	317800	-999	0.35	-35	
909	319000	3.48	-999	-999	
-999	319300	-999	0.29	-29	
-999	320800	-999	0.2	-20	
919	322000	3.43	-999	-999	
-999	322300	-999	0.23	-23	
-999	323900	-999	0.28	-28	
929	325000	3.05	-999	-999	
-999	325400	-999	0.24	-24	
-999	326900	-999	0.21	-21	
939	328000	2.9	-999	-999	
-999	328400	-999	0.27	-27	
-999	329900	-999	0.22	-22	
949	331000	3.09	-999	-999	
-999	331400	-999	0.15	-15	
-999	332900	-999	0.2	-20	
-999	334400	-999	0.2	-20	
959	338000	3.56	0.36	-36	
969	339300	3.56	-999	-999	
979	340500	4.04	-999	-999	
-999	341500	-999	0.81	-81	
989	341800	4.19	-999	-999	
-999	342100	-999	1.15	-115	
-999	342800	-999	1.17	-117	
